year,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity
1938,0.486981771,0.283627083,0.521627795,112.1711233,-14.30434896,1,0,0.916126527,0.364127209,0.234537847,0.098390278,244455.0191,2.03125
1939,0.513091892,0.295648348,0.562476577,113.99699,-13.81899299,1,0,0.882833908,0.266189946,0.234701101,0.127324525,215190.8509,4.22022022
1940,0.52163935,0.309803345,0.61590747,108.3076335,-13.728306,1,7,0.84711055,0.315485537,0.2643472,0.2440925,182824.4695,0.827
1941,0.480442133,0.261471915,0.480071325,107.395087,-15.90931988,1,7,0.899570549,0.448217661,0.200939648,0.09385559,202571.4762,1.240165631
1942,0.465813948,0.257303499,0.473810612,106.1970297,-15.03001092,1,7,0.851035543,0.390266735,0.213301516,0.08263493,221935.6568,0.953911461
1943,0.467497003,0.275160773,0.517023975,106.3444227,-13.59756151,1,5,0.915794006,0.395795039,0.235692744,0.113055205,216915.6751,1.184542587
1944,0.507083485,0.260940793,0.548159168,107.2329311,-14.48940442,1,10,0.893705469,0.439483379,0.235994278,0.171819506,247493.1795,2.678803641
1945,0.52003165,0.227028101,0.49426055,108.120676,-17.0140425,1,0,0.701386808,0.270448321,0.20299625,0.31295845,194490.685,1.7565
1946,0.403514504,0.204252136,0.373622821,102.5905309,-17.71348436,1,7,0.924216926,0.49537518,0.207839321,0.088025017,262658.9128,1.645375915
1947,0.472398607,0.258910931,0.506145282,109.272361,-14.59378657,1,0,0.915398535,0.344697102,0.220692844,0.100910386,232983.2514,1.161494617
1948,0.439915364,0.247542342,0.443624625,107.3752168,-15.51207388,1,0,0.93426515,0.392072308,0.221531852,0.086625268,207500.8137,1.582441113
1949,0.44162305,0.244627165,0.42859375,108.8766015,-15.6105295,1,0,0.907894695,0.293478962,0.210266,0.1033084,225385.41,3.307
1950,0.4914329,0.324979145,0.55183425,111.7684885,-13.506982,1,7,0.866723461,0.262044584,0.2127911,0.1181832,222606.0595,2.7035
1951,0.4597661,0.25026026,0.43176165,109.1837115,-15.9488355,1,0,0.904933296,0.306455701,0.2159926,0.107834,214660.0035,2.799
1952,0.46265855,0.25158091,0.436885362,107.5911275,-16.0553675,1,5,0.861885918,0.277559257,0.2276149,0.1641967,223649.8685,2.9865
1953,0.436234359,0.265310379,0.423354256,109.0141785,-15.55176769,1,0,0.891139458,0.290270225,0.225679231,0.096054205,217921.8221,3.177435897
1954,0.46662995,0.25936111,0.4464522,108.532237,-15.59447,1,5,0.867919072,0.278372244,0.21994595,0.1159951,222630.231,7.0835
1955,0.49018335,0.287021395,0.47206955,110.391857,-14.386474,1,0,0.845071037,0.225791449,0.22586435,0.10661965,220256.196,8.8735
1956,0.48488295,0.306298675,0.5061335,111.8144845,-14.1303665,1,0,0.82009984,0.234791088,0.1860197,0.06405415,215516.486,15.104
1957,0.50743335,0.29674755,0.51425785,112.308124,-14.163187,1,5,0.79008145,0.19233531,0.18274105,0.06572105,241185.707,18.6135
1958,0.4815849,0.311422635,0.4953149,112.869024,-14.2781125,1,0,0.777831215,0.186284447,0.2038149,0.0578502,212955.166,18.1555
1959,0.48886505,0.31679769,0.487513,112.506105,-14.324556,1,0,0.77708802,0.178835127,0.1963936,0.0718479,216623.042,19.805
1960,0.4873433,0.34719967,0.52787905,112.965354,-13.7775955,1,5,0.757064973,0.17841129,0.20411595,0.06681045,211600.6325,18.4845
1961,0.4892041,0.343305774,0.51821205,112.3063895,-14.158903,1,0,0.751735725,0.260177456,0.21087845,0.0622034,230635.9715,18.2335
1962,0.4992031,0.379657,0.56029685,114.924049,-13.0558565,1,0,0.713096766,0.173527923,0.2068896,0.05817435,210347.9275,20.336
1963,0.4863314,0.373388235,0.54989925,114.546598,-13.602048,1,0,0.712598155,0.190613667,0.20351605,0.0546331,200297.1395,24.365
1964,0.50658625,0.397462465,0.5675485,115.0386355,-13.0205355,1,0,0.686364562,0.155720749,0.2202171,0.06515295,197745.7025,25.1475
1965,0.5048521,0.445830653,0.5791451,117.6115185,-12.1029475,1,0,0.607825756,0.109639449,0.21337455,0.0582296,192590.198,26.6705
1966,0.5035686,0.472649405,0.58500235,116.316601,-11.7510585,1,9,0.533855656,0.107621696,0.2163386,0.05564505,195723.263,28.06
1967,0.49844525,0.452212345,0.55796715,117.582517,-11.6416575,1,0,0.516564568,0.103044282,0.19169365,0.05105005,201815.848,31.207
1968,0.50047985,0.456669245,0.5667658,116.488288,-12.178926,1,0,0.488828213,0.111796512,0.2179106,0.0600978,217330.8715,30.9155
1969,0.49049835,0.48958083,0.556460485,116.9565235,-12.083148,1,2,0.443721952,0.155996969,0.2086283,0.0561868,243239.2485,32.872
1970,0.509339,0.49700465,0.57485125,117.228647,-11.8689105,1,2,0.452994844,0.125211852,0.2163628,0.053003,242455.391,34.439
1971,0.50451935,0.500450855,0.57440365,118.2344645,-12.0631855,1,2,0.4529077,0.12461931,0.21742735,0.06172,261744.5995,34.664
1972,0.5208465,0.5069524,0.597264,119.2493455,-11.7722985,1,2,0.457332818,0.112921811,0.2093138,0.0548739,248024.293,34.7465
1973,0.5135514,0.53483924,0.5874993,120.419363,-11.3201835,1,0,0.412536525,0.104506559,0.20650535,0.0575813,256522.1945,36.6775
1974,0.52052895,0.521901915,0.5879766,119.827762,-11.746781,1,7,0.437783753,0.111008296,0.22111405,0.05933695,255832.2625,32.1815
1975,0.523718,0.534788445,0.5784687,119.095331,-11.407781,1,9,0.415703517,0.105966498,0.22028765,0.0617354,255555.734,34.662
1976,0.53280355,0.555976895,0.58459385,121.1474615,-11.066453,1,2,0.362252849,0.119460556,0.2525387,0.0650382,266387.733,35.874
1977,0.5372937,0.564516209,0.58805865,122.0271205,-11.034756,1,9,0.332094207,0.125854677,0.2240226,0.0606237,258175.421,35.743
1978,0.54478325,0.570141965,0.59465825,121.092253,-10.76404,1,9,0.316198631,0.098767662,0.2239043,0.0639651,252205.3435,35.7055
1979,0.5618163,0.598865365,0.6112477,122.9454195,-10.8373475,1,9,0.282255005,0.108642484,0.2181085,0.0687692,251801.05,35.798
1980,0.5578385,0.60089611,0.6033149,122.6640385,-10.604593,1,0,0.282898615,0.122710305,0.20805325,0.0601958,251271.876,35.7065
1981,0.54187025,0.601334018,0.58329185,123.4056765,-11.0375065,1,9,0.292430356,0.154506944,0.2254533,0.05825155,252524.9085,35.2655
1982,0.56573035,0.60003644,0.59246755,121.202016,-10.8133405,1,2,0.283249098,0.093279367,0.2013609,0.06617205,249905.7285,35.725
1983,0.54803335,0.614877525,0.57606155,121.2740695,-10.992583,1,9,0.277094656,0.142536128,0.2018573,0.0687133,251411.6325,35.911
1984,0.5397952,0.60113052,0.566882705,121.9237365,-11.3787775,1,9,0.271246582,0.137412367,0.19596895,0.0611703,251420.918,37.168
1985,0.55850035,0.61172402,0.57058735,121.9948245,-11.178366,1,9,0.278964298,0.108347851,0.1995335,0.0578907,251831.435,36.5785
1986,0.5447083,0.6218376,0.5533414,120.925895,-10.9862495,1,7,0.271672888,0.114289106,0.20997095,0.06586145,253202.991,37.0025
1987,0.54301125,0.587712445,0.5424803,120.406542,-11.5242195,1,7,0.301076418,0.098808534,0.1996317,0.0583823,249306.277,39.187
1988,0.54506375,0.59349891,0.554020605,120.481966,-11.46748,1,7,0.302313665,0.108803259,0.21206585,0.06772325,256161.0145,38.838
1989,0.55203085,0.591701695,0.55836595,120.6101975,-11.3089415,1,7,0.300095781,0.103721331,0.198774,0.06488795,255036.374,38.6295
1990,0.54518535,0.5876502,0.5339336,120.019514,-11.1057955,1,7,0.304092532,0.106585423,0.2002561,0.0678364,259626.2145,39.785
1991,0.56122825,0.56602222,0.5542273,119.776355,-10.835189,1,7,0.315968343,0.108993929,0.1902512,0.07370745,244292.828,41.21
1992,0.56382585,0.589770795,0.5645346,122.566212,-10.454913,1,7,0.306602951,0.094689788,0.2004604,0.0755334,245248.012,42.485
1993,0.5744991,0.571926055,0.55845145,119.9397855,-10.773155,1,7,0.291017322,0.114979256,0.19882815,0.0781756,252771.8,42.325
1994,0.5593907,0.59062834,0.53697305,118.4363855,-10.080787,1,7,0.288333828,0.107491494,0.1930889,0.07814085,252177.5665,44.3795
1995,0.56496445,0.589224815,0.53746685,119.20807,-9.8609345,1,0,0.28495528,0.108765109,0.19991025,0.08232495,249126.044,44.443
1996,0.59172145,0.591787605,0.56428925,117.331936,-9.2795785,1,7,0.285922864,0.084890561,0.20051785,0.0875631,248138.9245,44.4005
1997,0.57796695,0.601817345,0.54626405,117.7594745,-9.140692,1,7,0.303142846,0.107329712,0.20388905,0.0900282,246396.506,45.1835
1998,0.5928674,0.61484337,0.5454227,118.535518,-8.8225045,1,7,0.277977635,0.100513606,0.19614045,0.0947249,248837.2385,45.231
1999,0.5862456,0.641978199,0.5578091,119.7589625,-8.166139,1,7,0.263356708,0.087613715,0.20873355,0.09936195,245668.599,46.8325
2000,0.5890394,0.62222284,0.55734955,118.932672,-8.2888615,1,7,0.286654303,0.09978976,0.20091825,0.08985415,242958.072,46.3125
2001,0.58593315,0.638171686,0.5509531,117.9032015,-8.051444,1,7,0.270392167,0.094753797,0.1872397,0.0912574,241011.54,48.6245
2002,0.57862785,0.65135229,0.5478405,119.5606995,-7.517304,1,7,0.275408605,0.081102737,0.19558895,0.0838091,239810.2355,48.202
2003,0.57663275,0.66617755,0.53494295,121.0065355,-7.3594095,1,7,0.247379432,0.080684691,0.19546715,0.09231585,245057.708,48.4045
2004,0.5722624,0.66055256,0.53087645,121.676676,-7.3586795,1,7,0.264210291,0.069287271,0.2022549,0.09381965,239908.2885,48.974
2005,0.5763006,0.659766555,0.53318355,122.1156545,-7.2980135,1,7,0.246816743,0.08108178,0.189185735,0.09406585,238882.838,50.3475
2006,0.56844475,0.657829535,0.5208878,121.813486,-7.139478,1,7,0.266283979,0.073208889,0.18738655,0.08384885,236364.3485,50.631
2007,0.56483005,0.6730113,0.51510375,123.4701225,-6.9939475,1,7,0.241804361,0.071561766,0.19531585,0.083876,242951.7495,50.7085
2008,0.5834105,0.675860892,0.5312543,123.4698405,-6.803835,1,0,0.24111812,0.061075723,0.1985907,0.07707565,239900.875,50.522
2009,0.56685735,0.680765665,0.511821869,123.656818,-6.8395785,1,0,0.245269346,0.063429006,0.20644795,0.08704805,238880.798,51.36
2010,0.57781115,0.693696355,0.52581128,123.4369655,-6.694271,1,0,0.228712283,0.077970515,0.201977,0.08600675,243543.9095,52.7635
2011,0.55982215,0.671269066,0.479514985,122.3993055,-7.1769615,1,0,0.239381757,0.085690283,0.2040738,0.0899024,236586.656,53.184
2012,0.5716951,0.66981134,0.47465727,122.099837,-6.9997085,1,7,0.236196586,0.069287541,0.1951285,0.08370135,242556.9375,54.34
2013,0.57887375,0.656467189,0.4672444,120.7844735,-7.1999795,1,1,0.24196859,0.072768731,0.1995335,0.0976217,239570.8225,55.6915
2014,0.58957415,0.653497022,0.464598955,122.584669,-6.957376,1,0,0.23761402,0.058542843,0.1900837,0.08467125,231953.446,56.9645
2015,0.591007561,0.633498827,0.443944464,119.6961051,-7.134255308,1,0,0.246800921,0.05826166,0.187513154,0.095743397,224708.8441,59.54790264
2016,0.599976384,0.592877156,0.43076903,119.0703438,-7.949912646,1,0,0.280289704,0.074646384,0.180197969,0.107298222,219400.7638,61.37125444
2017,0.6122864,0.586738587,0.414465275,116.8402775,-8.4226975,1,1,0.289916291,0.098209213,0.19421845,0.11175245,209343.613,64.8615
2018,0.66493,0.59059117,0.44714092,122.004325,-7.253666,1,1,0.271940903,0.035947921,0.17178135,0.1281401,200919.119,67.276
2019,0.64421535,0.578796113,0.46585562,118.868163,-8.041738,1,1,0.289297545,0.07651759,0.1671606,0.1247987,197733.133,69.6555
2020,0.673077449,0.611914191,0.482755148,121.2287039,-7.204023918,1,1,0.247374037,0.039052253,0.177048178,0.143504841,197114.6623,63.11104784
